"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 17 16:04:02 CST 2023","Fri Mar 17 16:04:02 CST 2023","8","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：跳转新页面","这是用例描述：{case_name}"
"passed","Fri Mar 17 16:03:57 CST 2023","Fri Mar 17 16:03:58 CST 2023","491","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：搜索seventeen","这是用例描述：{case_name}"
"passed","Fri Mar 17 16:03:58 CST 2023","Fri Mar 17 16:03:58 CST 2023","13","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：跳转新页面","这是用例描述：{case_name}"
"passed","Fri Mar 17 16:04:00 CST 2023","Fri Mar 17 16:04:02 CST 2023","2255","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：进入更多列表","这是用例描述：{case_name}"
"passed","Fri Mar 17 16:04:00 CST 2023","Fri Mar 17 16:04:00 CST 2023","18","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：跳转新页面","这是用例描述：{case_name}"
"failed","Fri Mar 17 16:03:58 CST 2023","Fri Mar 17 16:03:58 CST 2023","136","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：点击seventeen主页","这是用例描述：{case_name}"
"passed","Fri Mar 17 16:04:03 CST 2023","Fri Mar 17 16:04:03 CST 2023","48","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：跳转新页面","这是用例描述：{case_name}"
"skipped","Fri Mar 17 16:04:03 CST 2023","Fri Mar 17 16:04:03 CST 2023","0","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：滑动到页面底部","这是用例描述：{case_name}"
"passed","Fri Mar 17 16:03:58 CST 2023","Fri Mar 17 16:04:00 CST 2023","2244","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：点击视频主页","这是用例描述：{case_name}"
"passed","Fri Mar 17 16:04:02 CST 2023","Fri Mar 17 16:04:03 CST 2023","505","testcase","pytest_selenium_m_allure","TestSeleniumCase","","","这是用例名：点击第一个视频","这是用例描述：{case_name}"
